Time_s,Voltage_V
-0.001000000,0.000740
-0.000998000,0.002310
-0.000996000,0.001000
-0.000994000,-0.001270
-0.000992000,-0.002220
-0.000990000,0.002190
-0.000988000,0.005510
-0.000986000,-0.000670
-0.000984000,-0.001960
-0.000982000,-0.001820
-0.000980000,-0.002360
-0.000978000,0.001450
-0.000976000,-0.001980
-0.000974000,-0.004250
-0.000972000,-0.000600
-0.000970000,-0.000640
-0.000968000,0.000850
-0.000966000,-0.000580
-0.000964000,-0.004430
-0.000962000,-0.003580
-0.000960000,0.002170
-0.000958000,-0.001730
-0.000956000,0.001760
-0.000954000,0.001000
-0.000952000,-0.000200
-0.000950000,0.001270
-0.000948000,-0.001870
-0.000946000,-0.002480
-0.000944000,-0.000540
-0.000942000,0.001550
-0.000940000,-0.001520
-0.000938000,-0.000550
-0.000936000,-0.000330
-0.000934000,-0.003710
-0.000932000,-0.003400
-0.000930000,0.001730
-0.000928000,0.002610
-0.000926000,0.002010
-0.000924000,-0.000790
-0.000922000,0.000890
-0.000920000,0.000690
-0.000918000,0.000200
-0.000916000,0.004410
-0.000914000,0.000090
-0.000912000,0.001340
-0.000910000,0.001510
-0.000908000,0.001420
-0.000906000,-0.003450
-0.000904000,0.002430
-0.000902000,0.001720
-0.000900000,0.004010
-0.000898000,0.001470
-0.000896000,0.000600
-0.000894000,-0.000190
-0.000892000,0.001730
-0.000890000,0.001410
-0.000888000,0.001050
-0.000886000,-0.002780
-0.000884000,0.001820
-0.000882000,-0.000310
-0.000880000,0.001310
-0.000878000,0.001410
-0.000876000,-0.002010
-0.000874000,-0.000030
-0.000872000,-0.000220
-0.000870000,0.000140
-0.000868000,-0.000730
-0.000866000,-0.000470
-0.000864000,0.002550
-0.000862000,-0.000510
-0.000860000,-0.000740
-0.000858000,0.000040
-0.000856000,-0.003010
-0.000854000,-0.001840
-0.000852000,0.000590
-0.000850000,-0.001060
-0.000848000,-0.002890
-0.000846000,-0.004590
-0.000844000,0.002730
-0.000842000,0.001270
-0.000840000,-0.002630
-0.000838000,0.001320
-0.000836000,-0.004340
-0.000834000,-0.001360
-0.000832000,-0.001900
-0.000830000,0.003160
-0.000828000,-0.003520
-0.000826000,-0.004950
-0.000824000,0.000140
-0.000822000,0.000860
-0.000820000,-0.001330
-0.000818000,-0.002630
-0.000816000,0.000690
-0.000814000,-0.001070
-0.000812000,0.001520
-0.000810000,-0.001880
-0.000808000,-0.000320
-0.000806000,0.000330
-0.000804000,-0.003340
-0.000802000,-0.007490
-0.000800000,-0.000140
-0.000798000,0.002630
-0.000796000,-0.000130
-0.000794000,0.001350
-0.000792000,0.003710
-0.000790000,-0.000660
-0.000788000,0.000300
-0.000786000,-0.002020
-0.000784000,-0.004160
-0.000782000,-0.002250
-0.000780000,0.001150
-0.000778000,0.000180
-0.000776000,0.001900
-0.000774000,0.000540
-0.000772000,-0.005720
-0.000770000,0.001210
-0.000768000,0.002810
-0.000766000,-0.000410
-0.000764000,-0.000630
-0.000762000,0.001380
-0.000760000,-0.002050
-0.000758000,-0.000490
-0.000756000,0.000800
-0.000754000,0.000970
-0.000752000,-0.001650
-0.000750000,-0.001010
-0.000748000,-0.003410
-0.000746000,0.003150
-0.000744000,0.002520
-0.000742000,-0.002190
-0.000740000,-0.001400
-0.000738000,0.008270
-0.000736000,0.000450
-0.000734000,-0.002910
-0.000732000,-0.002860
-0.000730000,-0.000390
-0.000728000,0.001900
-0.000726000,0.000040
-0.000724000,-0.000980
-0.000722000,-0.003850
-0.000720000,-0.000760
-0.000718000,-0.003270
-0.000716000,0.000240
-0.000714000,-0.001970
-0.000712000,0.001570
-0.000710000,0.000630
-0.000708000,-0.002520
-0.000706000,-0.001280
-0.000704000,-0.001400
-0.000702000,0.002740
-0.000700000,0.001580
-0.000698000,0.002670
-0.000696000,0.000920
-0.000694000,-0.001400
-0.000692000,0.000280
-0.000690000,0.001210
-0.000688000,-0.001640
-0.000686000,-0.000870
-0.000684000,-0.000620
-0.000682000,-0.000510
-0.000680000,0.003090
-0.000678000,0.002820
-0.000676000,0.001570
-0.000674000,0.001300
-0.000672000,0.001760
-0.000670000,-0.001610
-0.000668000,-0.004820
-0.000666000,0.000070
-0.000664000,-0.001770
-0.000662000,-0.000020
-0.000660000,-0.002010
-0.000658000,0.004320
-0.000656000,0.002140
-0.000654000,-0.000680
-0.000652000,0.001770
-0.000650000,0.000500
-0.000648000,0.000650
-0.000646000,0.000260
-0.000644000,0.001590
-0.000642000,-0.000650
-0.000640000,-0.002060
-0.000638000,0.000620
-0.000636000,-0.001610
-0.000634000,-0.001170
-0.000632000,-0.001740
-0.000630000,0.003340
-0.000628000,0.001590
-0.000626000,-0.000640
-0.000624000,0.002380
-0.000622000,-0.000690
-0.000620000,0.003180
-0.000618000,0.000740
-0.000616000,-0.002110
-0.000614000,-0.002160
-0.000612000,0.001200
-0.000610000,-0.001330
-0.000608000,-0.003830
-0.000606000,-0.001770
-0.000604000,-0.000470
-0.000602000,0.001020
-0.000600000,0.001800
-0.000598000,-0.002280
-0.000596000,-0.002510
-0.000594000,-0.003280
-0.000592000,-0.003820
-0.000590000,-0.000050
-0.000588000,0.002940
-0.000586000,-0.002400
-0.000584000,0.001580
-0.000582000,-0.000560
-0.000580000,-0.000790
-0.000578000,-0.001830
-0.000576000,0.001360
-0.000574000,-0.002390
-0.000572000,0.000630
-0.000570000,0.000520
-0.000568000,0.002300
-0.000566000,0.001620
-0.000564000,0.002060
-0.000562000,0.002970
-0.000560000,0.002490
-0.000558000,-0.000280
-0.000556000,0.003860
-0.000554000,0.000590
-0.000552000,0.002480
-0.000550000,-0.000060
-0.000548000,-0.000960
-0.000546000,-0.001910
-0.000544000,-0.001060
-0.000542000,0.001100
-0.000540000,0.001370
-0.000538000,-0.003050
-0.000536000,0.000970
-0.000534000,-0.000130
-0.000532000,0.004110
-0.000530000,-0.001090
-0.000528000,-0.001280
-0.000526000,-0.001120
-0.000524000,0.002900
-0.000522000,-0.002510
-0.000520000,0.000780
-0.000518000,-0.001820
-0.000516000,0.001010
-0.000514000,0.002420
-0.000512000,-0.001020
-0.000510000,-0.002230
-0.000508000,-0.004590
-0.000506000,0.001770
-0.000504000,-0.001360
-0.000502000,-0.003480
-0.000500000,0.000110
-0.000498000,0.000810
-0.000496000,-0.000250
-0.000494000,0.000890
-0.000492000,-0.000320
-0.000490000,-0.003210
-0.000488000,0.001690
-0.000486000,0.000400
-0.000484000,-0.000460
-0.000482000,0.000670
-0.000480000,-0.003330
-0.000478000,0.002360
-0.000476000,0.000170
-0.000474000,0.002140
-0.000472000,-0.004780
-0.000470000,0.001090
-0.000468000,-0.004140
-0.000466000,-0.000930
-0.000464000,0.001200
-0.000462000,-0.000990
-0.000460000,0.000230
-0.000458000,0.001840
-0.000456000,-0.000870
-0.000454000,0.001470
-0.000452000,0.001430
-0.000450000,0.000220
-0.000448000,-0.000320
-0.000446000,-0.002160
-0.000444000,-0.000210
-0.000442000,0.001170
-0.000440000,-0.003830
-0.000438000,-0.000440
-0.000436000,-0.003680
-0.000434000,-0.000250
-0.000432000,0.002770
-0.000430000,0.002180
-0.000428000,0.000190
-0.000426000,-0.000390
-0.000424000,-0.000240
-0.000422000,0.000520
-0.000420000,-0.002870
-0.000418000,0.003430
-0.000416000,-0.001800
-0.000414000,0.001230
-0.000412000,0.000150
-0.000410000,-0.000510
-0.000408000,0.003870
-0.000406000,-0.000290
-0.000404000,-0.000810
-0.000402000,0.002380
-0.000400000,-0.001070
-0.000398000,-0.004290
-0.000396000,0.003090
-0.000394000,-0.000620
-0.000392000,-0.001210
-0.000390000,0.000720
-0.000388000,-0.001400
-0.000386000,-0.000420
-0.000384000,0.000600
-0.000382000,0.002190
-0.000380000,-0.000570
-0.000378000,-0.000210
-0.000376000,-0.002680
-0.000374000,0.002910
-0.000372000,0.000690
-0.000370000,0.000870
-0.000368000,0.000090
-0.000366000,-0.000470
-0.000364000,0.001380
-0.000362000,0.002440
-0.000360000,-0.000270
-0.000358000,0.000230
-0.000356000,-0.002770
-0.000354000,0.002620
-0.000352000,0.000230
-0.000350000,0.003140
-0.000348000,0.001570
-0.000346000,0.002100
-0.000344000,0.001520
-0.000342000,0.001080
-0.000340000,-0.000690
-0.000338000,0.000370
-0.000336000,0.001150
-0.000334000,0.001820
-0.000332000,0.000090
-0.000330000,-0.000130
-0.000328000,0.002050
-0.000326000,-0.000700
-0.000324000,-0.004200
-0.000322000,-0.002140
-0.000320000,-0.000410
-0.000318000,0.000100
-0.000316000,-0.002590
-0.000314000,0.002460
-0.000312000,-0.000380
-0.000310000,0.002620
-0.000308000,0.001610
-0.000306000,0.000810
-0.000304000,-0.000010
-0.000302000,-0.001040
-0.000300000,-0.001430
-0.000298000,0.002490
-0.000296000,-0.001240
-0.000294000,-0.001530
-0.000292000,0.003240
-0.000290000,0.004040
-0.000288000,0.000720
-0.000286000,0.002540
-0.000284000,0.001510
-0.000282000,0.000470
-0.000280000,-0.000060
-0.000278000,0.000480
-0.000276000,0.002520
-0.000274000,-0.001070
-0.000272000,0.001240
-0.000270000,0.003500
-0.000268000,-0.002130
-0.000266000,0.001990
-0.000264000,0.001700
-0.000262000,0.001160
-0.000260000,-0.001590
-0.000258000,0.001080
-0.000256000,0.002420
-0.000254000,0.001260
-0.000252000,-0.001740
-0.000250000,-0.000280
-0.000248000,-0.000170
-0.000246000,-0.000930
-0.000244000,-0.003410
-0.000242000,0.001160
-0.000240000,-0.002230
-0.000238000,-0.002710
-0.000236000,0.005890
-0.000234000,0.000220
-0.000232000,0.000730
-0.000230000,0.002240
-0.000228000,-0.003570
-0.000226000,-0.000280
-0.000224000,-0.000280
-0.000222000,-0.003130
-0.000220000,-0.000530
-0.000218000,0.002630
-0.000216000,0.001050
-0.000214000,-0.002000
-0.000212000,0.000610
-0.000210000,-0.003270
-0.000208000,0.001780
-0.000206000,-0.000370
-0.000204000,-0.000030
-0.000202000,0.005550
-0.000200000,-0.002160
-0.000198000,0.001410
-0.000196000,-0.001710
-0.000194000,-0.002180
-0.000192000,-0.000740
-0.000190000,-0.001920
-0.000188000,-0.002870
-0.000186000,0.003680
-0.000184000,0.001870
-0.000182000,-0.001780
-0.000180000,-0.000600
-0.000178000,-0.000830
-0.000176000,0.000530
-0.000174000,0.002230
-0.000172000,0.000460
-0.000170000,0.000940
-0.000168000,0.001320
-0.000166000,-0.000070
-0.000164000,-0.000980
-0.000162000,0.001780
-0.000160000,-0.001040
-0.000158000,-0.003790
-0.000156000,0.000440
-0.000154000,-0.000490
-0.000152000,-0.002390
-0.000150000,-0.000690
-0.000148000,-0.001050
-0.000146000,0.001030
-0.000144000,-0.000520
-0.000142000,-0.000750
-0.000140000,0.000810
-0.000138000,-0.000030
-0.000136000,-0.000470
-0.000134000,-0.001800
-0.000132000,-0.000140
-0.000130000,0.000470
-0.000128000,-0.002670
-0.000126000,0.004850
-0.000124000,0.000540
-0.000122000,-0.001010
-0.000120000,-0.003720
-0.000118000,-0.003610
-0.000116000,0.001650
-0.000114000,-0.003850
-0.000112000,0.001060
-0.000110000,0.001320
-0.000108000,0.001410
-0.000106000,-0.000350
-0.000104000,-0.002680
-0.000102000,0.002150
-0.000100000,-0.000840
-0.000098000,0.000900
-0.000096000,0.000610
-0.000094000,0.001370
-0.000092000,0.002670
-0.000090000,-0.002610
-0.000088000,-0.001370
-0.000086000,0.002750
-0.000084000,-0.000910
-0.000082000,-0.005020
-0.000080000,0.000490
-0.000078000,-0.000110
-0.000076000,-0.001600
-0.000074000,-0.000390
-0.000072000,-0.000710
-0.000070000,-0.000100
-0.000068000,-0.000530
-0.000066000,0.000870
-0.000064000,0.000390
-0.000062000,0.000440
-0.000060000,-0.001140
-0.000058000,0.002040
-0.000056000,-0.001550
-0.000054000,0.000380
-0.000052000,0.000010
-0.000050000,0.003620
-0.000048000,-0.004430
-0.000046000,-0.002320
-0.000044000,-0.001380
-0.000042000,-0.001280
-0.000040000,0.001330
-0.000038000,-0.000320
-0.000036000,-0.001310
-0.000034000,0.000290
-0.000032000,0.000430
-0.000030000,-0.000050
-0.000028000,0.002910
-0.000026000,0.001050
-0.000024000,-0.000450
-0.000022000,0.000230
-0.000020000,-0.001100
-0.000018000,-0.000100
-0.000016000,-0.002040
-0.000014000,-0.000640
-0.000012000,0.001220
-0.000010000,-0.001040
-0.000008000,0.002870
-0.000006000,0.002400
-0.000004000,0.000020
-0.000002000,0.001180
0.000000000,-0.124970
0.000002000,-0.124120
0.000004000,-0.123280
0.000006000,-0.120480
0.000008000,-0.119110
0.000010000,-0.116520
0.000012000,-0.111750
0.000014000,-0.110620
0.000016000,-0.107490
0.000018000,-0.107630
0.000020000,-0.104190
0.000022000,-0.105680
0.000024000,-0.101180
0.000026000,-0.096930
0.000028000,-0.097670
0.000030000,-0.093750
0.000032000,-0.094380
0.000034000,-0.093740
0.000036000,-0.087030
0.000038000,-0.090150
0.000040000,-0.089170
0.000042000,-0.089740
0.000044000,-0.086950
0.000046000,-0.083290
0.000048000,-0.081950
0.000050000,-0.081760
0.000052000,-0.080400
0.000054000,-0.077410
0.000056000,-0.071100
0.000058000,-0.075210
0.000060000,-0.077430
0.000062000,-0.076680
0.000064000,-0.073640
0.000066000,-0.072320
0.000068000,-0.071590
0.000070000,-0.068790
0.000072000,-0.064400
0.000074000,-0.067600
0.000076000,-0.064840
0.000078000,-0.064270
0.000080000,-0.063880
0.000082000,-0.060290
0.000084000,-0.059170
0.000086000,-0.054060
0.000088000,-0.060610
0.000090000,-0.057210
0.000092000,-0.058270
0.000094000,-0.054860
0.000096000,-0.055030
0.000098000,-0.053230
0.000100000,-0.049890
0.000102000,-0.053490
0.000104000,-0.051220
0.000106000,-0.049190
0.000108000,-0.046760
0.000110000,-0.050740
0.000112000,-0.048810
0.000114000,-0.045640
0.000116000,-0.045370
0.000118000,-0.041190
0.000120000,-0.048060
0.000122000,-0.043710
0.000124000,-0.041340
0.000126000,-0.040940
0.000128000,-0.040210
0.000130000,-0.039260
0.000132000,-0.037790
0.000134000,-0.040160
0.000136000,-0.032360
0.000138000,-0.038650
0.000140000,-0.037540
0.000142000,-0.032280
0.000144000,-0.037500
0.000146000,-0.036730
0.000148000,-0.034420
0.000150000,-0.030680
0.000152000,-0.031940
0.000154000,-0.031920
0.000156000,-0.030670
0.000158000,-0.029630
0.000160000,-0.030900
0.000162000,-0.030830
0.000164000,-0.028370
0.000166000,-0.026930
0.000168000,-0.030270
0.000170000,-0.027560
0.000172000,-0.029830
0.000174000,-0.023050
0.000176000,-0.024150
0.000178000,-0.026850
0.000180000,-0.022830
0.000182000,-0.024430
0.000184000,-0.026990
0.000186000,-0.025360
0.000188000,-0.022340
0.000190000,-0.023720
0.000192000,-0.023390
0.000194000,-0.023950
0.000196000,-0.017470
0.000198000,-0.021280
0.000200000,-0.023430
0.000202000,-0.017950
0.000204000,-0.021900
0.000206000,-0.022520
0.000208000,-0.022930
0.000210000,-0.015970
0.000212000,-0.019110
0.000214000,-0.018720
0.000216000,-0.018220
0.000218000,-0.019850
0.000220000,-0.018710
0.000222000,-0.013580
0.000224000,-0.016780
0.000226000,-0.016800
0.000228000,-0.013250
0.000230000,-0.016060
0.000232000,-0.014340
0.000234000,-0.015200
0.000236000,-0.020870
0.000238000,-0.015110
0.000240000,-0.013160
0.000242000,-0.010890
0.000244000,-0.012730
0.000246000,-0.017920
0.000248000,-0.014190
0.000250000,-0.013980
0.000252000,-0.014230
0.000254000,-0.012610
0.000256000,-0.014380
0.000258000,-0.015290
0.000260000,-0.011440
0.000262000,-0.012240
0.000264000,-0.013470
0.000266000,-0.012380
0.000268000,-0.013850
0.000270000,-0.006940
0.000272000,-0.015040
0.000274000,-0.008640
0.000276000,-0.012280
0.000278000,-0.013130
0.000280000,-0.009390
0.000282000,-0.007030
0.000284000,-0.009470
0.000286000,-0.009790
0.000288000,-0.011390
0.000290000,-0.011510
0.000292000,-0.006530
0.000294000,-0.009610
0.000296000,-0.008640
0.000298000,-0.005880
0.000300000,-0.008350
0.000302000,-0.007690
0.000304000,-0.008890
0.000306000,-0.009750
0.000308000,-0.008440
0.000310000,-0.005710
0.000312000,-0.006150
0.000314000,-0.009700
0.000316000,-0.005830
0.000318000,-0.007170
0.000320000,-0.007850
0.000322000,-0.005550
0.000324000,-0.005430
0.000326000,-0.008340
0.000328000,-0.008020
0.000330000,-0.010440
0.000332000,-0.005120
0.000334000,-0.005950
0.000336000,-0.007430
0.000338000,-0.004770
0.000340000,-0.009500
0.000342000,-0.008400
0.000344000,-0.003170
0.000346000,-0.005880
0.000348000,-0.006360
0.000350000,-0.004970
0.000352000,-0.004650
0.000354000,-0.007640
0.000356000,-0.004760
0.000358000,-0.007870
0.000360000,-0.004480
0.000362000,-0.007340
0.000364000,-0.006670
0.000366000,-0.008860
0.000368000,-0.000810
0.000370000,-0.002330
0.000372000,-0.009200
0.000374000,-0.005330
0.000376000,-0.005320
